Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/success Max,eval/env_infos/final/success Mean,eval/env_infos/final/success Min,eval/env_infos/final/success Std,eval/env_infos/initial/success Max,eval/env_infos/initial/success Mean,eval/env_infos/initial/success Min,eval/env_infos/initial/success Std,eval/env_infos/success Max,eval/env_infos/success Mean,eval/env_infos/success Min,eval/env_infos/success Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/success Max,expl/env_infos/final/success Mean,expl/env_infos/final/success Min,expl/env_infos/final/success Std,expl/env_infos/initial/success Max,expl/env_infos/initial/success Mean,expl/env_infos/initial/success Min,expl/env_infos/initial/success Std,expl/env_infos/success Max,expl/env_infos/success Mean,expl/env_infos/success Min,expl/env_infos/success Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,2.8383747e-05,-1.379798e-06,-2.239792e-05,4.3318823e-06,-53.326880269951225,1,-53.326880269951225,-53.326880269951225,-53.326880269951225,0.0,-0.0030228809153276053,-0.02316545624237674,-0.37241308423625236,0.01992329878820128,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1,2302,2302,2302.0,2302,0.0,0.99,0.5422209030720369,-0.99,0.5669437392776503,76.86323221317222,3,118.89618927268758,76.86323221317222,-6.442035377128282,58.90653813176767,3.0,0.05764742415987919,-0.20755061605175737,0.42582727286899646,True,0.6666666666666666,False,0.4714045207910317,False,0.0,False,0.0,True,0.0005,False,0.022355088906108163,136,204000,1654,1333.3333333333333,878,330.8023915001556,204000,0.012843591990531422,277.56146293382335,266.9278615630028,5.139291526007582,0.010292480990756303,5.4489784148317995,0.022123742004623637,281.00649025793246,7.161499524954706e-05,1.0,-0.0,-2.010397,-4.020538,-5.3438506,0.53665847,-4.0203524,7.8858223,4.1019454,2.130832,0.7496006,0.00024188015,8.255587e-05,-5.7690035e-05,5.3651354e-05,5.1075534e-05,-9.56799e-05,-0.0002046355,5.3080537e-05,17.387192,17.388655,500,4.31827e-05,-1.7111746e-06,-8.830502e-05,5.1991583e-06,0.00068247865,-2.6045922e-05,-0.00077551865,0.0005227424,1.0006827,0.9999741,0.9992248,0.00052272854
1,1,0.3469829,0.2445061,0.057853304,0.087860845,-53.80872336493772,2,-53.326969065892655,-53.80872336493772,-54.29047766398279,0.4817542990450683,-0.0033765093539910255,-0.02817948330187887,-0.640100560779948,0.027846285376917784,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3,6121,1947,1909.5,1872,37.5,0.99917334,0.16456404,-0.9977459,0.58336043,-444.4349704550863,1,-444.4349704550863,-444.4349704550863,-444.4349704550863,0.0,-0.003209219716926666,-0.11110874261377149,-1.1159758067692835,0.08315127572331821,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,137,208000,4000,4000.0,4000,0.0,208000,0.012566573001095094,20.904171105881687,7.43012380899745,7.8911760590126505,0.012447991000954062,5.5536431918881135,0.004137629992328584,302.2841391368711,7.585198909509927e-05,0.8615249395370483,-1.4657082557678223,-0.9500084,-3.8335857,-6.656504,0.81547356,-5.0502243,7.98252,3.324029,1.0374752,0.8512134,3.7509155,3.3602378,0.6476238,0.22826055,3.7581162,3.3617182,0.64298344,0.22825311,0.7361698,0.7374772,1000,0.3676508,0.24610178,0.055942394,0.08844759,-0.08531277,-0.117775954,-0.14980339,0.013773409,0.91822505,0.88897985,0.8608772,0.01232358
2,2,-0.021213545,-0.043820277,-0.06422858,0.014375404,-49.291302333842424,1,-49.291302333842424,-49.291302333842424,-49.291302333842424,0.0,-0.0030871515128425846,-0.022872994122432665,-0.5298546187788433,0.02969403512573889,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,4,8276,2155,2155.0,2155,0.0,0.9994373,-0.02844353,-0.99845904,0.61252517,-453.38356059988627,1,-453.38356059988627,-453.38356059988627,-453.38356059988627,0.0,-0.0030789767693170816,-0.11334589014997204,-2.379290539605618,0.128720524407658,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,138,212000,4000,4000.0,4000,0.0,212000,0.012630835000891238,20.574510028862278,7.0900933610100765,7.941795491002267,0.00996141899668146,5.515886481836787,0.0040672400064067915,323.2351150047325,7.520100916735828e-05,0.7402323484420776,-3.0249476432800293,-2.5948887,-4.0566373,-6.2166247,0.46909213,-6.0062714,6.6396284,3.1168032,1.6963805,0.5688873,3.677615,3.1160107,2.7578685,0.13559185,3.6099987,3.108425,2.707485,0.13590057,0.3143955,0.3129427,1500,-0.021082224,-0.043990817,-0.06967501,0.014413444,-0.027599422,-0.041754544,-0.062156476,0.00827548,0.97277796,0.959138,0.93973583,0.007937938
3,3,0.017579453,0.004713572,-0.013671351,0.010726828,-222.58544893564488,1,-222.58544893564488,-222.58544893564488,-222.58544893564488,0.0,-0.003011819111593542,-0.06632462721562711,-23.733558558028445,0.8125230683786189,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,5,11632,3356,3356.0,3356,0.0,0.9993228,-0.0015775119,-0.9986917,0.60944164,-483.58414067177245,1,-483.58414067177245,-483.58414067177245,-483.58414067177245,0.0,-0.003188398078933667,-0.12089603516794314,-12.926631881863441,0.41499859703915454,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,139,216000,4000,4000.0,4000,0.0,216000,0.013824879002640955,20.463122959117754,6.941472047998104,7.958753779006656,0.011730867001460865,5.533111670112703,0.004155645990977064,344.07562114368193,7.407000521197915e-05,0.6364527940750122,-4.544683456420898,-2.731142,-4.058058,-5.748681,0.42331377,-5.22995,6.4133444,2.856813,2.0083768,0.5599352,3.1557753,2.8630304,2.2415469,0.12471417,3.1990001,2.8813207,2.319128,0.12742658,0.28966874,0.29011795,2000,0.01777245,0.004892481,-0.014242109,0.010672294,-0.03439566,-0.049832243,-0.06566678,0.0101668835,0.96618915,0.95143825,0.93644285,0.00968289
4,4,0.050622087,0.015366783,-0.06915201,0.03496385,-124.39212700379713,1,-124.39212700379713,-124.39212700379713,-124.39212700379713,0.0,-0.003017954608190467,-0.04331202193725528,-11.682880972480067,0.432195091379926,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,6,14504,2872,2872.0,2872,0.0,0.9997122,0.010895413,-0.9997946,0.6080175,-744.3136708788703,1,-744.3136708788703,-744.3136708788703,-744.3136708788703,0.0,-0.0031173409025267353,-0.1860784177197176,-32.13369972152834,1.1637899083826697,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,140,220000,4000,4000.0,4000,0.0,220000,0.012676582991844043,20.698683612863533,7.119434084990644,8.0273330899945,0.011106263002147898,5.524074105895124,0.003987470990978181,365.149329006701,7.201499829534441e-05,0.547440767288208,-6.082022190093994,-2.8661118,-4.0946255,-6.8085775,0.396987,-4.547003,6.205439,2.708645,1.5802261,0.49512476,3.1350691,2.7104,2.1384149,0.1541359,3.1668644,2.7118962,2.07425,0.16052617,0.21363792,0.2126542,2500,0.05028252,0.015425983,-0.067108095,0.03482033,-0.045665428,-0.07228094,-0.10696911,0.016739566,0.95536155,0.9303999,0.89855343,0.015568735
5,5,0.06821254,0.002410243,-0.13777572,0.05095868,-33.78430349594889,1,-33.78430349594889,-33.78430349594889,-33.78430349594889,0.0,-0.003101619404599213,-0.016320919563260317,-0.3211187244326613,0.016222953577771444,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,7,16574,2070,2070.0,2070,0.0,0.99803746,-0.0045869816,-0.99693227,0.60117066,-485.1076089877791,1,-485.1076089877791,-485.1076089877791,-485.1076089877791,0.0,-0.003092478468809458,-0.1212769022469451,-23.614154949147775,0.7466891604677222,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,141,224000,4000,4000.0,4000,0.0,224000,0.012755602991092019,20.400325882132165,7.047193449005135,7.851286684992374,0.009686337012681179,5.475151851132978,0.004179941999609582,385.92794235354813,7.201499829534441e-05,0.4709821343421936,-7.595125675201416,-2.873784,-4.0873575,-6.9644585,0.3809123,-4.16965,5.9852324,2.6631036,-19.033403,0.86148775,3.3353367,2.6782331,1.1354539,0.22364819,3.3417037,2.6620793,1.0612429,0.21981485,0.6686369,0.6597842,3000,0.080786996,0.001452717,-0.18730696,0.05320832,-0.06282255,-0.09122819,-0.15494116,0.017505031,0.9391101,0.9129489,0.8564656,0.01592626
6,6,0.17209688,0.013358794,-0.28674567,0.06689793,-40.213637101863554,1,-40.213637101863554,-40.213637101863554,-40.213637101863554,0.0,-0.0030726787999123175,-0.01803302112191188,-0.32147957337825994,0.01589498581811287,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,8,18804,2230,2230.0,2230,0.0,0.9992135,0.0039987415,-0.9977214,0.5975747,-400.9516127540193,1,-400.9516127540193,-400.9516127540193,-400.9516127540193,0.0,-0.003034569434098413,-0.10023790318850492,-1.379108286445933,0.08845949617850613,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,142,228000,4000,4000.0,4000,0.0,228000,0.013049836998106912,20.542350436749985,7.0694864810066065,7.922494108002866,0.010265525997965597,5.522375203741831,0.004606615009834059,406.85513192636427,7.266599277500063e-05,0.40528133511543274,-9.10761833190918,-1.3887105,-4.0840144,-6.1705,0.45036232,-4.0580506,6.022985,2.7147083,1.9794036,0.5154832,3.7013144,2.6910543,1.8360827,0.22489093,3.7751753,2.6915429,1.7442876,0.23530059,0.17485827,0.1710375,3500,0.35627192,0.015708087,-0.5604646,0.09676379,-0.029356547,-0.10505319,-0.13533123,0.015977783,0.9710702,0.90039223,0.87342656,0.014504937
7,7,0.19841261,0.012283913,-0.30215955,0.04687378,-61.787522913706326,1,-61.787522913706326,-61.787522913706326,-61.787522913706326,0.0,-0.0030895608078359378,-0.02643882024548839,-0.46651877377602013,0.025681424336574818,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,9,21141,2337,2337.0,2337,0.0,0.9993444,0.0073374673,-0.9991093,0.59309155,-449.8264767068489,1,-449.8264767068489,-449.8264767068489,-449.8264767068489,0.0,-0.0030352591823338804,-0.11245661917671254,-1.3972963171446253,0.08879480361545351,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,143,232000,4000,4000.0,4000,0.0,232000,0.01273724999919068,20.685825011023553,7.201151617991854,7.919581590991584,0.010452386995893903,5.53789828204026,0.003930395003408194,427.9201895121514,7.348800136242062e-05,0.34878066182136536,-10.617324829101562,-2.5952282,-4.0799427,-5.8399796,0.3596568,-3.908917,6.2847958,2.7796245,-11.934322,0.70578194,4.446862,2.7766566,2.3574843,0.3295793,4.558073,2.7767982,2.2499952,0.33560672,0.3443117,0.3468771,4000,0.2571762,0.012136276,-0.38927263,0.06201308,-0.06984784,-0.10918125,-0.13947296,0.011666618,0.9325357,0.8966287,0.86981654,0.010415349
8,8,0.124205545,0.008392747,-0.14037067,0.028867193,-49.817043542924296,1,-49.817043542924296,-49.817043542924296,-49.817043542924296,0.0,-0.003489686267873818,-0.024408154602118745,-0.45685603799287533,0.023466064002989666,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,10,23182,2041,2041.0,2041,0.0,0.99785066,0.003942883,-0.9985457,0.593964,-421.99789177829854,1,-421.99789177829854,-421.99789177829854,-421.99789177829854,0.0,-0.0031540822438408628,-0.10549947294457482,-0.8357695484623425,0.07537462115071902,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,144,236000,4000,4000.0,4000,0.0,236000,0.013834022000082768,20.121646613974008,7.084368700001505,7.975634401998832,0.009743175993207842,5.03399393199652,0.003992891986854374,448.4141928288591,7.948999700602144e-05,0.30017122626304626,-12.152153015136719,-2.7543254,-4.0981646,-6.319488,0.3773343,-3.788221,6.293268,2.803195,-1.8116126,0.4805015,4.2329316,2.7516603,2.0460932,0.22792922,4.216985,2.7521276,1.868257,0.23130308,0.13012865,0.12972845,4500,0.33946154,0.011026057,-0.56115246,0.07164426,-0.081749886,-0.11931016,-0.16416346,0.013117561,0.9215024,0.8876088,0.8486033,0.011635601
9,9,0.17485976,0.0044841236,-0.19763929,0.045819115,-48.09706450054339,1,-48.09706450054339,-48.09706450054339,-48.09706450054339,0.0,-0.0031708900021047873,-0.022816444260219827,-0.43686339408543534,0.022313027086061622,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,11,25290,2108,2108.0,2108,0.0,0.998871,0.009991499,-0.9971275,0.5867048,-438.7713624135892,1,-438.7713624135892,-438.7713624135892,-438.7713624135892,0.0,-0.0031576356995595537,-0.10969284060339703,-1.5254624306436912,0.09214457231179694,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,145,240000,4000,4000.0,4000,0.0,240000,0.012646390998270363,20.64841333196091,7.232637869994505,7.902122747997055,0.01016116100072395,5.486654307969729,0.004117425996810198,469.44245372553996,7.342800381593406e-05,0.2583650052547455,-13.633094787597656,-2.7752795,-4.073354,-6.937301,0.3734825,-3.775965,6.680175,2.8735147,-0.412421,0.5522839,5.9611526,2.9397695,2.2424314,0.48943317,5.877483,2.947793,2.241203,0.49300614,0.122833066,0.12892635,5000,0.3786936,0.010403169,-0.3875765,0.08497031,-0.10694118,-0.1382853,-0.1988682,0.014923846,0.8985785,0.8709472,0.8196579,0.012998731
