Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/success Max,eval/env_infos/final/success Mean,eval/env_infos/final/success Min,eval/env_infos/final/success Std,eval/env_infos/initial/success Max,eval/env_infos/initial/success Mean,eval/env_infos/initial/success Min,eval/env_infos/initial/success Std,eval/env_infos/success Max,eval/env_infos/success Mean,eval/env_infos/success Min,eval/env_infos/success Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/success Max,expl/env_infos/final/success Mean,expl/env_infos/final/success Min,expl/env_infos/final/success Std,expl/env_infos/initial/success Max,expl/env_infos/initial/success Mean,expl/env_infos/initial/success Min,expl/env_infos/initial/success Std,expl/env_infos/success Max,expl/env_infos/success Mean,expl/env_infos/success Min,expl/env_infos/success Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,3.1516025e-05,1.5962021e-08,-2.2530478e-05,5.1484894e-06,-60.224106987286675,1,-60.224106987286675,-60.224106987286675,-60.224106987286675,0.0,-0.003099513022577223,-0.02718921308681118,-0.7389791962231469,0.04282587023658713,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1,2215,2215,2215.0,2215,0.0,0.99,0.5102849572817696,-0.99,0.5824010989760239,75.9809467899545,3,118.41872129077548,75.9809467899545,-5.699170683502748,57.77129557442381,3.0,0.05698571009246586,-0.027430594094651567,0.4258163403867491,True,0.6666666666666666,False,0.4714045207910317,False,0.0,False,0.0,True,0.0005,False,0.02235508890610816,127,204000,1767,1333.3333333333333,775,414.46538523205476,204000,0.013035039009992033,171.01088352303486,162.57452844300133,3.275106727000093,0.01032708199636545,5.115193941019243,0.02261628900305368,174.6009346570063,7.60020047891885e-05,1.0,-0.0,-2.0103712,-4.0205364,-5.3438525,0.53666,-4.02034,7.9359803,4.0730453,2.1330445,0.7190987,0.00030922217,9.0269124e-05,-6.0725266e-05,5.240647e-05,3.187301e-05,-8.5453255e-05,-0.00020845968,5.589744e-05,17.10608,17.10751,500,5.1179348e-05,2.5077347e-07,-6.009648e-05,5.179514e-06,0.0006839082,-2.5142328e-05,-0.00076156046,0.0005223282,1.0006841,0.999975,0.9992387,0.00052231306
1,1,0.33856758,0.24142921,0.04423831,0.09323519,-182.77938834061226,1,-182.77938834061226,-182.77938834061226,-182.77938834061226,0.0,-0.0030065664822699887,-0.058284243731062654,-18.16069120225334,0.6428496820760022,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,2,5351,3136,3136.0,3136,0.0,0.9991636,0.16168183,-0.9978294,0.5837203,-565.9248343702787,1,-565.9248343702787,-565.9248343702787,-565.9248343702787,0.0,-0.0030369965022905634,-0.1414812085925693,-22.65600922244554,0.7106755515752836,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,128,208000,4000,4000.0,4000,0.0,208000,0.013118065005983226,20.74071885511512,7.742628095991677,7.479305208995356,0.013877881996450014,5.487110081114224,0.004603940004017204,195.7876133061509,7.558200741186738e-05,0.8615204691886902,-1.466543436050415,-0.9940796,-3.8388453,-6.64149,0.8061721,-5.034869,7.571736,3.336205,1.0062604,0.8725036,3.7007198,3.3310187,0.76800686,0.23506649,3.7051704,3.3304367,0.73065716,0.23759592,0.794449,0.7958572,1000,0.37286648,0.24136288,0.042608805,0.09318681,-0.08448015,-0.1183243,-0.154445,0.0145442225,0.9189899,0.8885023,0.8568906,0.013022097
2,2,-0.009617165,-0.04883013,-0.07953806,0.020700896,-44.99004291789569,1,-44.99004291789569,-44.99004291789569,-44.99004291789569,0.0,-0.0035737767228889183,-0.022000020986746086,-0.37167028355775883,0.019288314382735008,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3,7396,2045,2045.0,2045,0.0,0.9994348,-0.031855024,-0.99856275,0.6120547,-434.62562736743087,1,-434.62562736743087,-434.62562736743087,-434.62562736743087,0.0,-0.003039698788566357,-0.10865640684185746,-1.3067192975797461,0.09023051471793467,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,129,212000,4000,4000.0,4000,0.0,212000,0.01284193599713035,20.9776216148166,7.575578722011414,7.795727648001048,0.010360664993640967,5.5795669538056245,0.0034695170033955947,217.17244676598057,7.617300434503704e-05,0.7402123212814331,-3.0250115394592285,-2.5350256,-4.0559454,-6.2895355,0.47348613,-5.9969482,6.608365,3.1117792,-11.420357,0.7444319,3.5459697,3.093823,2.3371701,0.11429696,3.6575608,3.0963187,2.3632092,0.11369781,0.53687656,0.53607863,1500,-0.009127235,-0.049217265,-0.0886257,0.020837856,-0.030956909,-0.04319294,-0.062305667,0.0069535966,0.96951735,0.95774966,0.93959564,0.0066584903
3,3,0.024957495,0.0048802067,-0.014290645,0.014465237,-61.7758920056835,1,-61.7758920056835,-61.7758920056835,-61.7758920056835,0.0,-0.0033373917724641125,-0.025654440201695806,-0.4188165633145484,0.02088355682613397,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,4,9804,2408,2408.0,2408,0.0,0.9993438,-0.0016860935,-0.99864566,0.6096442,-582.6870877543047,1,-582.6870877543047,-582.6870877543047,-582.6870877543047,0.0,-0.003179957679742297,-0.14567177193857617,-24.02882383341937,0.7630226775158404,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,130,216000,4000,4000.0,4000,0.0,216000,0.012697243990260176,21.335894123418257,7.828856164996978,7.942090823999024,0.010306761992978863,5.53789122744638,0.003975857995101251,238.93122747453162,7.604299753438681e-05,0.6364450454711914,-4.544454097747803,-2.8273134,-4.0572786,-5.809148,0.42759293,-5.208475,6.43497,2.8241143,-1.3651671,0.51356816,3.173772,2.8372302,2.265497,0.14229393,3.250959,2.8372877,2.290647,0.14072777,0.2501327,0.25066808,2000,0.025433991,0.004886059,-0.02111867,0.014457067,-0.039792627,-0.049067017,-0.061820496,0.004787058,0.9609887,0.95212823,0.9400516,0.004564854
4,4,0.025857044,0.012836632,-0.0035149148,0.009979992,-58.927492892448576,1,-58.927492892448576,-58.927492892448576,-58.927492892448576,0.0,-0.003062193983561519,-0.02663991541249932,-0.6611454118786328,0.038376849454734845,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,5,12016,2212,2212.0,2212,0.0,0.99977154,0.0093439175,-0.9998469,0.6146883,-596.0108756046877,1,-596.0108756046877,-596.0108756046877,-596.0108756046877,0.0,-0.0030449065739893938,-0.14900271890117148,-25.089948512825547,0.7925770422312247,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,131,220000,4000,4000.0,4000,0.0,220000,0.013037857002927922,20.99849778796488,7.674669716012431,7.704208237992134,0.010402050000266172,5.5923110119620105,0.0037949649995425716,260.3469154275226,7.394999556709081e-05,0.547476589679718,-6.075867176055908,-2.5784054,-4.085505,-6.687833,0.42999652,-4.64606,5.8992734,2.6956475,1.9627323,0.5047212,2.965894,2.6521068,2.0794804,0.12109355,2.952418,2.6574924,2.0885153,0.119938344,0.23343019,0.23311594,2500,0.02662142,0.013034417,-0.00423208,0.009939492,-0.04025165,-0.048917085,-0.06169236,0.0040447884,0.9605477,0.9522679,0.9401721,0.0038589095
5,5,0.04654502,0.014883236,-0.08381641,0.04249013,-38.43971418825945,1,-38.43971418825945,-38.43971418825945,-38.43971418825945,0.0,-0.0030341292429014303,-0.01834831226169902,-0.4760680981277015,0.024352601779548382,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,6,14111,2095,2095.0,2095,0.0,0.99844396,0.0034149678,-0.99734163,0.6094708,-504.10210616922865,1,-504.10210616922865,-504.10210616922865,-504.10210616922865,0.0,-0.0030571624894379203,-0.126025526542307,-22.106111047358823,0.6979241540354113,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,132,224000,4000,4000.0,4000,0.0,224000,0.01297987399448175,20.823150139156496,7.754163347999565,7.6394749770115595,0.010072824006783776,5.4026228441507556,0.0037579539930447936,281.59528197784675,7.8318000305444e-05,0.4710448682308197,-7.581374645233154,-2.8350048,-4.070875,-6.643121,0.42264894,-4.1797,5.9860816,2.624977,1.973661,0.53788,2.9700704,2.5867593,1.2953514,0.14193068,2.9802628,2.5887508,1.280298,0.14307629,0.24880789,0.24997672,3000,0.054237016,0.014999241,-0.10020563,0.042810775,-0.041164055,-0.061657768,-0.09296907,0.0123926895,0.9596717,0.9402768,0.9112217,0.011651517
6,6,0.19559044,0.0085028615,-0.3178961,0.05487819,-44.52494722895713,1,-44.52494722895713,-44.52494722895713,-44.52494722895713,0.0,-0.0036010156183419375,-0.021815260768719785,-0.45387434676754207,0.02214330797188923,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,7,16152,2041,2041.0,2041,0.0,0.99929637,-0.0017668926,-0.9982336,0.603306,-421.2494734746781,1,-421.2494734746781,-421.2494734746781,-421.2494734746781,0.0,-0.003028192184688412,-0.10531236836866958,-1.3058663104815853,0.08672288673102559,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,133,228000,4000,4000.0,4000,0.0,228000,0.012874410997028463,21.055639126963797,7.558439229003852,7.986100025998894,0.013195316001656465,5.477076222960022,0.007880584002123214,303.04204859686433,7.333800022024661e-05,0.4053857922554016,-9.081576347351074,-1.9433584,-4.058051,-6.1810474,0.4801145,-3.8673894,6.0291376,2.5820563,1.5249814,0.420954,3.1017938,2.5714617,1.728434,0.15706424,3.0487852,2.5778606,2.0754318,0.15608583,0.14262202,0.14600271,3500,0.522156,0.023865702,-0.7241944,0.10691124,-0.061290625,-0.091511995,-0.24067086,0.024821712,0.94054985,0.91283005,0.7861003,0.02247382
7,7,0.13345335,-0.0021440906,-0.1916785,0.041892026,-44.48362931683048,1,-44.48362931683048,-44.48362931683048,-44.48362931683048,0.0,-0.003685468192280472,-0.02188078175938535,-0.4638872973308208,0.022951974411469477,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,8,18185,2033,2033.0,2033,0.0,0.99944687,-0.0024891184,-0.9990248,0.59253,-382.4745798293496,1,-382.4745798293496,-382.4745798293496,-382.4745798293496,0.0,-0.0030123324657037338,-0.09561864495733755,-1.3859040095802193,0.08433156354141655,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,134,232000,4000,4000.0,4000,0.0,232000,0.01293202699162066,17.69164665605058,5.709425334003754,6.506661328996415,0.009782321998500265,5.448957586049801,0.00381347700022161,321.10945554122736,7.458101026713848e-05,0.3491130471229553,-10.541915893554688,-1.89991,-4.0174093,-6.332119,0.53633904,-3.6076741,5.8346844,2.656729,1.6741011,0.5413944,3.4682539,2.6413367,1.598813,0.25737718,3.3851185,2.6391542,1.4973959,0.24648951,0.19791496,0.2040017,4000,0.5431839,0.011530067,-0.8201598,0.14879175,-0.08633696,-0.12377051,-0.27661252,0.023784747,0.9172851,0.8838312,0.7583483,0.020852946
8,8,0.25340858,0.013293937,-0.39880994,0.10029723,-56.84799998378278,1,-56.84799998378278,-56.84799998378278,-56.84799998378278,0.0,-0.003010881282205329,-0.023825649616002822,-0.41566554291363444,0.02142867218817763,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,9,20571,2386,2386.0,2386,0.0,0.99797374,0.0063130837,-0.998566,0.5898139,-628.9299664076601,1,-628.9299664076601,-628.9299664076601,-628.9299664076601,0.0,-0.003028378335049315,-0.15723249160191488,-22.010254814110546,0.8979318735879099,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,135,236000,4000,4000.0,4000,0.0,236000,0.01296975500008557,17.576955089869443,5.568831362994388,6.535063595991232,0.010473172005731612,5.445651300877216,0.0038768450031057,339.06433372420724,8.905799768399447e-05,0.30059751868247986,-12.05691909790039,-1.6842813,-4.030856,-8.32263,0.5303822,-3.5543463,6.101083,2.704923,0.9337082,0.5071167,4.0280776,2.6987543,1.8930862,0.33762106,3.9932668,2.6999505,1.8625531,0.33561876,0.13869965,0.14085862,4500,0.5136667,0.016568258,-0.75883627,0.14044255,-0.10154096,-0.14197913,-0.326925,0.025024867,0.9034442,0.8679078,0.7211378,0.021349762
9,9,0.3658006,0.014981397,-0.42749178,0.09130255,-56.98122999409663,1,-56.98122999409663,-56.98122999409663,-56.98122999409663,0.0,-0.0030729860861257677,-0.023555696566389648,-0.3713271961959662,0.019221657741781695,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,10,22990,2419,2419.0,2419,0.0,0.99788034,0.01738841,-0.99739087,0.58333594,-438.20552135333907,1,-438.20552135333907,-438.20552135333907,-438.20552135333907,0.0,-0.003067826091934332,-0.10955138033833485,-1.114087203598835,0.08201310730602057,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,136,240000,4000,4000.0,4000,0.0,240000,0.012766257001203485,17.87690926803043,5.668296938005369,6.563937724989955,0.01029051499790512,5.617763751026359,0.003776534998905845,357.32381752603396,7.754701073281467e-05,0.2587447464466095,-13.537178039550781,-2.160391,-4.0133486,-6.6025543,0.49092564,-3.636057,6.3379965,2.8087645,1.7890885,0.5854759,4.5508285,2.7862,2.0666153,0.42333028,4.538043,2.784,1.9318945,0.42225263,0.13491787,0.13394752,5000,0.4909535,0.014509638,-0.6718284,0.13791123,-0.092302874,-0.15778752,-0.36111993,0.028768314,0.91182894,0.85438156,0.6968954,0.024267156
