Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/success Max,eval/env_infos/final/success Mean,eval/env_infos/final/success Min,eval/env_infos/final/success Std,eval/env_infos/initial/success Max,eval/env_infos/initial/success Mean,eval/env_infos/initial/success Min,eval/env_infos/initial/success Std,eval/env_infos/success Max,eval/env_infos/success Mean,eval/env_infos/success Min,eval/env_infos/success Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/success Max,expl/env_infos/final/success Mean,expl/env_infos/final/success Min,expl/env_infos/final/success Std,expl/env_infos/initial/success Max,expl/env_infos/initial/success Mean,expl/env_infos/initial/success Min,expl/env_infos/initial/success Std,expl/env_infos/success Max,expl/env_infos/success Mean,expl/env_infos/success Min,expl/env_infos/success Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,4.1681815e-05,3.2718988e-06,2.1256002e-07,5.6287026e-06,-9.316365131720808,1,-9.316365131720808,-9.316365131720808,-9.316365131720808,0.0,-0.002997687238352409,-0.0045203130187873855,-0.029366669324391994,0.004307395658607518,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1,2061,2061,2061.0,2061,0.0,0.826536315039895,-0.02833893548035365,-0.99,0.7006682673180038,76.70100648515341,3,118.34483983692877,76.70100648515341,-5.354645799780875,58.02428812610257,3.0,0.05752575486386506,-0.028387208402636116,0.42573952927783104,True,0.6666666666666666,False,0.4714045207910317,False,0.0,False,0.0,True,0.0005,False,0.022355088906108163,127,204000,1660,1333.3333333333333,711,440.2380669087529,204000,0.01296048506628722,174.33451879012864,165.29060709103942,3.413272245088592,0.010022809030488133,5.581472457852215,0.02610590506810695,177.6562016699463,7.779698353260756e-05,1.0,-0.0,-0.5383315,-1.3351543,-2.087995,0.31711206,-1.3351455,4.7929277,1.4399372,0.5204853,0.61360216,0.00018457105,2.4381343e-05,-2.7543329e-05,2.4512809e-05,0.00035673298,0.00016068427,8.716214e-05,2.51083e-05,2.4498634,2.4494665,500,5.734043e-05,4.220593e-06,-1.6665256e-06,5.768635e-06,0.0004567057,0.0002513742,4.2915253e-06,0.00019821904,1.0004568,1.0002514,1.0000043,0.00019826887
1,1,0.32234722,0.1816256,0.0877673,0.09072343,-8.719600599211068,1,-8.719600599211068,-8.719600599211068,-8.719600599211068,0.0,-0.0030532821515481118,-0.00435980029960554,-0.030887833460583155,0.004433971329063393,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,2,4061,2000,2000.0,2000,0.0,0.999175,0.12730245,-0.9987883,0.5968666,-13.996442993949652,1,-13.996442993949652,-13.996442993949652,-13.996442993949652,0.0,-0.0030053965485929224,-0.0034991107484874133,-0.02498773448982708,0.0023421833754142017,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,128,208000,4000,4000.0,4000,0.0,208000,0.012634632061235607,17.948401456465945,5.684264859068207,6.664106240961701,0.009903586003929377,5.57310724130366,0.0043111080303788185,195.97897816856857,7.378903683274984e-05,0.9705269932746887,-0.09895192086696625,-0.19745302,-1.3076595,-2.9440012,0.41030732,-2.419066,4.7493873,1.3468573,0.19222365,0.6274786,1.6172861,1.3280851,0.7220969,0.1442558,1.6698351,1.324239,0.561825,0.15365608,0.37938312,0.38193148,1000,0.37638384,0.18490297,0.089246646,0.09259057,-0.055126887,-0.080936894,-0.14540923,0.023979833,0.94636506,0.92251694,0.86466837,0.02210183
2,2,0.18108289,0.12132064,0.08498278,0.03446527,-10.923573362497645,1,-10.923573362497645,-10.923573362497645,-10.923573362497645,0.0,-0.003035898087708827,-0.004502709547608255,-0.03530082090346308,0.00469447997701653,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3,6487,2426,2426.0,2426,0.0,0.9982394,0.07379364,-0.99725074,0.60698646,-15.032473275971576,1,-15.032473275971576,-15.032473275971576,-15.032473275971576,0.0,-0.0030031183979825843,-0.0037581183189929015,-0.03659122967138964,0.003633046027413749,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,129,212000,4000,4000.0,4000,0.0,212000,0.012688302900642157,18.027578425128013,5.697814609971829,6.721665189950727,0.010512069915421307,5.580557660432532,0.004260972025804222,214.37839895125944,7.961993105709553e-05,0.9419039487838745,-0.20030847191810608,-0.34723854,-1.3467321,-2.8132486,0.30555966,-2.498736,4.673932,1.3693919,0.43469566,0.57960373,1.8959891,1.3466885,0.9210022,0.13032739,1.9450835,1.3438115,0.82056767,0.1363336,0.32237986,0.32354328,1500,0.20559858,0.12290576,0.0849976,0.035041504,-0.0368607,-0.057333965,-0.100030154,0.019098463,0.9638104,0.94445086,0.90481013,0.018031824
3,3,0.09624539,0.07253406,0.061991572,0.009585801,-7.689036048326984,2,-7.678959695435725,-7.689036048326984,-7.699112401218243,0.010076352891259077,-0.0030081510536521423,-0.004014114355691454,-0.02448398748094768,0.003055057204072561,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,5,10318,1960,1915.5,1871,44.5,0.99935234,0.048667014,-0.99790084,0.60813916,-13.720518523306385,1,-13.720518523306385,-13.720518523306385,-13.720518523306385,0.0,-0.0030080545627668327,-0.003430129630826596,-0.02276870432565651,0.0020809081462868067,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,130,216000,4000,4000.0,4000,0.0,216000,0.012831951025873423,18.13585272966884,5.966472920961678,6.631460956064984,0.013203750946559012,5.507810691604391,0.003997958032414317,232.88585892424453,7.450103294104338e-05,0.913945198059082,-0.30094099044799805,-0.5350995,-1.3443592,-2.74687,0.26667845,-2.584921,4.6314125,1.3783801,0.6529394,0.4409096,1.8566363,1.3824396,1.1197504,0.117591165,1.8212447,1.3824894,1.1256301,0.11746387,0.19223706,0.19141695,2000,0.11157737,0.07301995,0.06049821,0.0097908275,-0.042652436,-0.057888903,-0.097278446,0.013441016,0.9582444,0.94384,0.90730333,0.012682557
4,4,0.09125082,0.058828108,0.032322913,0.02547079,-8.461537096919516,1,-8.461537096919516,-8.461537096919516,-8.461537096919516,0.0,-0.0030574804837075354,-0.00413767095203888,-0.025755629924872195,0.0035913184753775993,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,6,12363,2045,2045.0,2045,0.0,0.9988829,0.034748472,-0.99745524,0.6130125,-14.416279680122678,1,-14.416279680122678,-14.416279680122678,-14.416279680122678,0.0,-0.003014080960146584,-0.0036040699200306737,-0.029040780045002837,0.0028264003246070576,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,131,220000,4000,4000.0,4000,0.0,220000,0.012889059027656913,17.80607559334021,5.562419023946859,6.61600508808624,0.009920626995153725,5.6006197951501235,0.004149062093347311,251.05495336232707,7.293804083019495e-05,0.8868398070335388,-0.40200045704841614,-0.5850313,-1.3474678,-2.262278,0.2504888,-2.6345139,4.658688,1.4845726,0.8309936,0.53140646,1.945919,1.4625204,1.1504954,0.12365728,1.9514683,1.4653943,1.1644347,0.122739166,0.26747656,0.2665034,2500,0.10344623,0.05904412,0.03167641,0.025579523,-0.040017616,-0.054356642,-0.08271094,0.012660387,0.9607725,0.94717014,0.9206172,0.011989762
5,5,0.07120973,0.047879443,0.024201402,0.022382755,-8.132746582914072,1,-8.132746582914072,-8.132746582914072,-8.132746582914072,0.0,-0.003057365451292305,-0.004249083899119157,-0.026864281865476448,0.0037122682469823754,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,7,14277,1914,1914.0,1914,0.0,0.99864405,0.025367592,-0.9970757,0.60832137,-14.524029283248751,1,-14.524029283248751,-14.524029283248751,-14.524029283248751,0.0,-0.003011623758589557,-0.0036310073208121836,-0.030633255841181813,0.0029746342371470423,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,132,224000,4000,4000.0,4000,0.0,224000,0.012621706002391875,17.808892773580737,5.574406952015124,6.735278418986127,0.011438661022111773,5.466151628643274,0.008867486962117255,269.22991398058366,0.00012791994959115982,0.8605682253837585,-0.5031168460845947,-0.6250615,-1.350486,-2.220756,0.2488292,-2.6959677,4.7004824,1.5757458,0.99028844,0.4826303,2.033728,1.5582733,1.299589,0.12053294,2.0396147,1.5582888,1.3045933,0.120733075,0.220471,0.21992476,3000,0.082132466,0.047547746,0.022149673,0.022313677,-0.04004597,-0.055442482,-0.080223456,0.012394522,0.9607453,0.9461391,0.9229101,0.011725553
6,6,0.070069045,0.04412286,0.0188923,0.024432596,-9.935029942065226,1,-9.935029942065226,-9.935029942065226,-9.935029942065226,0.0,-0.0029938197106643516,-0.003850786799250088,-0.023168783695653353,0.0029649565225423283,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,8,16857,2580,2580.0,2580,0.0,0.9989273,0.01827911,-0.99836695,0.60826164,-14.279345884893234,1,-14.279345884893234,-14.279345884893234,-14.279345884893234,0.0,-0.0030123564421611158,-0.0035698364712233124,-0.02570945435667048,0.0025379065750767748,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,133,228000,4000,4000.0,4000,0.0,228000,0.01273678196594119,18.010214330395684,5.643773385090753,6.68760999396909,0.010996951023116708,5.650884385337122,0.004139725933782756,287.6132365523372,7.310707587748766e-05,0.8350918292999268,-0.6050803065299988,-0.66760206,-1.3575728,-2.4867673,0.24644107,-2.8108358,4.8274665,1.7011225,1.1744543,0.4685199,2.2109501,1.7123137,1.447686,0.12417636,2.230409,1.7115214,1.4553589,0.123683564,0.21027786,0.21037337,3500,0.08420148,0.04347144,0.014669292,0.024249198,-0.043688074,-0.06288179,-0.09466297,0.012998273,0.9572525,0.93913376,0.9096795,0.012204517
7,7,0.072800145,0.044427443,0.022476489,0.017633114,-8.262762787664927,2,-7.343068480944303,-8.262762787664927,-9.182457094385553,0.9196943067206251,-0.0030090133402864727,-0.004207109362354847,-0.03334512134173536,0.0037921192934699355,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,10,20785,2015,1964.0,1913,51.0,0.99958116,0.02894096,-0.9993092,0.60472333,-14.45668458837164,1,-14.45668458837164,-14.45668458837164,-14.45668458837164,0.0,-0.0030086726241230904,-0.0036141711470928915,-0.02950500943866537,0.002843425802690726,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,134,232000,4000,4000.0,4000,0.0,232000,0.012920657987706363,18.150549482437782,5.99333235505037,6.6221772889839485,0.012700804974883795,5.505111075472087,0.004233150975778699,306.1297751653474,7.414899300783873e-05,0.8103727102279663,-0.7047746181488037,-0.71664,-1.3519025,-2.2743907,0.21862045,-2.900155,5.1041946,1.8429515,1.4069325,0.444596,2.2518022,1.8439019,1.6138659,0.12121981,2.2822988,1.8451363,1.6395706,0.120994344,0.1868695,0.18725902,4000,0.06985997,0.04359251,0.018253382,0.017476115,-0.05014554,-0.07451157,-0.100554004,0.013051847,0.951091,0.9282758,0.9043363,0.012113
8,8,0.052989006,0.037531164,0.02364909,0.012394861,-9.934980800964754,1,-9.934980800964754,-9.934980800964754,-9.934980800964754,0.0,-0.003052580109445738,-0.0043139300047610836,-0.03153338533336569,0.004180075440322009,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,11,23088,2303,2303.0,2303,0.0,0.9972461,0.017454697,-0.99861586,0.6034107,-14.653912481464351,1,-14.653912481464351,-14.653912481464351,-14.653912481464351,0.0,-0.003001980048664255,-0.0036634781203660864,-0.029858849290641955,0.003167999079585681,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,135,236000,4000,4000.0,4000,0.0,236000,0.012576511013321579,17.707098735379986,5.661624634056352,6.664389754994772,0.010191675974056125,5.353796168463305,0.004446071921847761,324.2038521753857,7.39189563319087e-05,0.786385178565979,-0.8091578483581543,-0.7544012,-1.3671625,-2.6301622,0.20625992,-3.0330062,5.088314,2.0071774,1.5234498,0.47855327,2.394742,2.0143778,1.6577964,0.12677686,2.4494262,2.0133672,1.7692444,0.1259766,0.21148987,0.21259098,4500,0.058385227,0.036826752,0.014755337,0.012404519,-0.05222715,-0.08316505,-0.11565923,0.014369729,0.94911325,0.9202942,0.8907787,0.013220579
9,9,0.035202697,0.024592932,0.012431879,0.0079162,-8.57382495718992,1,-8.57382495718992,-8.57382495718992,-8.57382495718992,0.0,-0.003091124003456836,-0.00434337637142346,-0.028500921187427156,0.004047086169010989,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,12,25062,1974,1974.0,1974,0.0,0.9971491,0.02420853,-0.9966212,0.6023429,-13.978661760020968,1,-13.978661760020968,-13.978661760020968,-13.978661760020968,0.0,-0.003006641836687411,-0.0034946654400052385,-0.0233285190383086,0.0023243817931860077,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,136,240000,4000,4000.0,4000,0.0,240000,0.012740349979139864,17.994482000241987,5.738335932022892,6.611153351026587,0.009979436988942325,5.617953517357819,0.004245854914188385,342.56741052353755,7.355795241892338e-05,0.7631132006645203,-0.9087746143341064,-0.87040186,-1.3614879,-2.71705,0.18795793,-3.1350758,5.228586,2.1643264,1.619712,0.46546742,2.4555135,2.16364,1.8137558,0.11637087,2.543003,2.1603978,1.8790269,0.116376586,0.19602805,0.19724925,5000,0.037124056,0.024192814,0.0061495774,0.007941371,-0.05443998,-0.09440489,-0.12284986,0.012841368,0.94701535,0.90998924,0.88439643,0.011686108
