Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/success Max,eval/env_infos/final/success Mean,eval/env_infos/final/success Min,eval/env_infos/final/success Std,eval/env_infos/initial/success Max,eval/env_infos/initial/success Mean,eval/env_infos/initial/success Min,eval/env_infos/initial/success Std,eval/env_infos/success Max,eval/env_infos/success Mean,eval/env_infos/success Min,eval/env_infos/success Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/success Max,expl/env_infos/final/success Mean,expl/env_infos/final/success Min,expl/env_infos/final/success Std,expl/env_infos/initial/success Max,expl/env_infos/initial/success Mean,expl/env_infos/initial/success Min,expl/env_infos/initial/success Std,expl/env_infos/success Max,expl/env_infos/success Mean,expl/env_infos/success Min,expl/env_infos/success Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,3.7656875e-05,1.6437865e-06,-2.051226e-05,5.049171e-06,-45.53422889437329,1,-45.53422889437329,-45.53422889437329,-45.53422889437329,0.0,-0.003039840407441211,-0.022298838831720534,-0.36885587834530975,0.020718274931880925,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1,2042,2042,2042.0,2042,0.0,0.831373068041618,-0.03357909919625646,-0.99,0.691357156308356,72.82573136166083,3,118.5832926466684,72.82573136166083,-16.46836954198669,63.146974466734925,3.0,0.05461929852124563,-0.9790405191626497,0.4278754758919758,True,0.6666666666666666,False,0.4714045207910317,False,0.0,False,0.0,True,0.0005,False,0.022355088906108163,133,204000,1712,1333.3333333333333,1143,267.7590127127169,204000,0.013487180000083754,306.40861346799375,294.29412574399976,6.132244190000165,0.010588818000542233,5.931329732993618,0.026760837999972864,309.52749798699824,7.696499960729852e-05,1.0,-0.0,-0.5348816,-1.3333085,-2.310782,0.31108522,-1.3332038,4.7751265,1.4297868,0.52906114,0.64618725,1.45684035e-05,-6.9687485e-05,-0.00016007779,4.6408528e-05,0.00034996984,0.000118113836,-0.0001292212,0.00015042805,2.4620628,2.461563,500,5.4586584e-05,2.2327267e-06,-3.0323134e-05,5.420087e-06,0.0009984752,4.2966396e-05,-0.0008929185,0.00091227837,1.000999,1.0000434,0.9991075,0.00091231766
1,1,0.17502296,0.14162442,0.10757391,0.030598734,-60.372849772983706,1,-60.372849772983706,-60.372849772983706,-60.372849772983706,0.0,-0.003097212200875039,-0.03225045393855966,-0.6765388005356924,0.03563258121652642,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,2,3914,1872,1872.0,1872,0.0,0.9972499,0.08742648,-0.9963792,0.6106118,-713.8643496814991,1,-713.8643496814991,-713.8643496814991,-713.8643496814991,0.0,-0.003206266599063384,-0.17846608742037473,-18.26002724956883,0.6755585010315339,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,134,208000,4000,4000.0,4000,0.0,208000,0.01266249299987976,24.677086237979893,8.753388885000277,9.962195314999917,0.010069490999740083,5.932629911980257,0.006038069999704021,334.62914814497617,0.00010207200011791429,0.8610302209854126,-0.4957095682621002,-0.29799366,-1.312998,-2.4094453,0.33292025,-2.2628083,4.776289,1.2120254,0.26965198,0.5382647,1.8153682,1.2116857,0.7504994,0.12959273,1.8050708,1.2121075,0.8312538,0.12744254,0.27761257,0.2772527,1000,0.19662626,0.14168417,0.10446452,0.030709432,-0.04228122,-0.061609924,-0.089235865,0.016870486,0.95860016,0.94038343,0.9146298,0.01586232
2,2,0.11797525,0.085114926,0.05449869,0.026097946,-61.27842537941509,1,-61.27842537941509,-61.27842537941509,-61.27842537941509,0.0,-0.003163690672403278,-0.027866496307146486,-0.4776687077145845,0.02351394048399252,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3,6113,2199,2199.0,2199,0.0,0.99713266,0.04959182,-0.9989491,0.6060875,-465.6518913584248,1,-465.6518913584248,-465.6518913584248,-465.6518913584248,0.0,-0.003142214387799793,-0.11641297283960608,-1.3137564801248571,0.08775625859961964,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,135,212000,4000,4000.0,4000,0.0,212000,0.01382997400014574,25.84308302197769,8.795803945999978,10.706373952999456,0.012405267999383796,6.311018011978376,0.0035730010004044743,360.94122907495694,7.886799994594185e-05,0.7406176924705505,-1.0101127624511719,-0.49378777,-1.3640077,-2.746842,0.2749709,-1.9840319,4.265821,1.0849833,0.42008054,0.47019753,1.6466694,1.0906341,0.58893013,0.11543073,1.5951397,1.0895648,0.6066775,0.11498918,0.20983121,0.20935793,1500,0.12696972,0.08283882,0.033776544,0.026144428,-0.027993297,-0.05926107,-0.08970297,0.018449064,0.9723949,0.94262105,0.9142027,0.0173815
3,3,0.12126659,0.05095996,-0.20901676,0.05954292,-50.48332438384193,1,-50.48332438384193,-50.48332438384193,-50.48332438384193,0.0,-0.003057527945379269,-0.02423587344399518,-0.48615757181865427,0.02473832233158042,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,4,8196,2083,2083.0,2083,0.0,0.9993737,0.041643467,-0.99859476,0.5936874,-430.9487347448918,1,-430.9487347448918,-430.9487347448918,-430.9487347448918,0.0,-0.003034882177519598,-0.1077371836862229,-1.7263039535841693,0.0995509273393222,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,136,216000,4000,4000.0,4000,0.0,216000,0.014604568999857293,25.54300958798831,8.812287052999636,10.075871934999668,0.010166703999857418,6.623869113988803,0.0061336590006249025,386.98696633593954,7.655399986106204e-05,0.6370441913604736,-1.5212063789367676,0.09354663,-1.373589,-3.293816,0.26686758,-1.6806619,4.117538,0.9952758,-0.061383814,0.43435696,1.3687993,1.0143585,0.5714919,0.14351761,1.3485149,1.0162042,0.64401555,0.13861176,0.16756763,0.16941485,2000,0.16503109,0.030119848,-0.55009806,0.09782663,-0.08447023,-0.09828558,-0.19664873,0.013176158,0.918999,0.90646744,0.82147914,0.011649817
4,4,0.33299425,0.0077055222,-0.23772869,0.049796514,-53.06488604314421,1,-53.06488604314421,-53.06488604314421,-53.06488604314421,0.0,-0.0030437738269323126,-0.023827968586952974,-0.4915963021782484,0.025110609620371198,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,5,10423,2227,2227.0,2227,0.0,0.9951045,-0.0019615612,-0.99935657,0.58956224,-387.207732239163,1,-387.207732239163,-387.207732239163,-387.207732239163,0.0,-0.0030758579684499457,-0.09680193305979086,-0.6791748074726894,0.0736574980194315,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,137,220000,4000,4000.0,4000,0.0,220000,0.013559535999775107,23.964874493987736,8.500341842000125,9.639636617999713,0.010979900999700476,5.796488581988342,0.0037932340001134435,411.3964468869208,7.478099996660603e-05,0.5484568476676941,-1.9983476400375366,-0.06724906,-1.326994,-2.9938333,0.34807467,-1.455797,4.1873827,0.9807426,0.12104708,0.51055425,1.7256364,0.96630275,0.14344767,0.2337816,1.6355537,0.95342076,0.19166376,0.22084998,0.20702377,0.21039197,2500,0.3325109,-0.044011276,-0.5224799,0.17966548,-0.074868746,-0.14082687,-0.2250041,0.030349908,0.92786527,0.8690377,0.79851294,0.026163306
5,5,0.7538535,0.010983918,-0.17663047,0.052730337,-49.61562169174995,1,-49.61562169174995,-49.61562169174995,-49.61562169174995,0.0,-0.003016038160361893,-0.024143854837834544,-0.47986212645097026,0.025136578042244253,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,6,12478,2055,2055.0,2055,0.0,0.998813,0.033775296,-0.99799144,0.5859271,-484.771359988222,1,-484.771359988222,-484.771359988222,-484.771359988222,0.0,-0.0031284636106716215,-0.12119283999705555,-1.22159764738134,0.08879611322190961,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,138,224000,4000,4000.0,4000,0.0,224000,0.014358847000039532,27.38290697200773,8.985508664999543,11.543904788999498,0.011469740999928035,6.8174101820086435,0.010160562000237405,439.28054449092633,9.418599984201137e-05,0.47230374813079834,-2.504957437515259,-0.18336678,-1.3393512,-2.5203614,0.2798014,-1.4922316,4.350372,1.0127258,0.25819695,0.45539823,2.5657508,1.010389,0.55379695,0.27538317,2.468211,1.0019462,0.55080116,0.2710283,0.1130508,0.119003445,3000,0.5374279,0.021564478,-0.17263319,0.13624188,-0.030053457,-0.12877,-0.22238633,0.047591213,0.97039366,0.88017243,0.800606,0.041897207
6,6,0.963404,0.06785634,0.022332476,0.02392713,-101.93394527111357,1,-101.93394527111357,-101.93394527111357,-101.93394527111357,0.0,-0.0030797382960459085,-0.03004242418836238,-0.34787072464138086,0.01696166195265011,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,7,15871,3393,3393.0,3393,0.0,0.9965043,0.036887396,-0.9992711,0.59631294,-480.96683164420614,1,-480.96683164420614,-480.96683164420614,-480.96683164420614,0.0,-0.0031168816435074975,-0.12024170791105165,-1.727537018300071,0.09895271480063975,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,139,228000,4000,4000.0,4000,0.0,228000,0.01383885100040061,26.253665841009024,8.965618455999902,10.284658798000237,0.012892042000203219,6.97246178300793,0.004119567000088864,466.0377569589191,7.634400026290677e-05,0.4068711996078491,-2.953176736831665,2.1894863,-1.2840126,-4.179642,0.50598586,-1.594703,4.6140885,1.1233833,-0.42989954,0.5494809,3.740191,1.1096222,0.0059434045,0.3887283,3.6402836,1.1193161,0.08857806,0.38734904,0.118994966,0.12153717,3500,0.96147454,0.13232896,-0.07300088,0.16169332,0.058979023,-0.12570077,-0.73475295,0.10379463,1.060753,0.88666826,0.47962394,0.09295012
7,7,0.9978,0.040066235,-0.10560031,0.042273764,-55.97521497060611,2,-53.00494426277733,-55.97521497060611,-58.94548567843489,2.9702707078287816,-0.0030419276631778653,-0.028092956070567672,-0.7433365320047687,0.033931002176507935,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,9,19856,2047,1992.5,1938,54.5,0.9991034,0.025321506,-0.9986332,0.591962,-447.8150058213791,1,-447.8150058213791,-447.8150058213791,-447.8150058213791,0.0,-0.003219669347154841,-0.11195375145534485,-1.4272149219587709,0.08771790584480683,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,140,232000,4000,4000.0,4000,0.0,232000,0.013536612000280002,26.502422772995487,10.045620670999597,10.09925899100017,0.014480374999948253,6.3229033869956766,0.0065463130003990955,492.98609055891393,7.642399941687472e-05,0.3510087728500366,-3.3859052658081055,1.4714978,-1.2340844,-3.9389,0.5879382,-1.6113994,5.030477,1.1870576,-11.691533,0.7121355,5.0026903,1.2136428,0.12545514,0.48828757,4.9075365,1.2041404,0.11644472,0.4793633,0.27360633,0.27291426,4000,0.9299061,0.12391054,-0.17622079,0.21281399,0.13940433,-0.14323777,-0.86213225,0.16298962,1.1495888,0.8777769,0.42226076,0.13792491
8,8,0.99928653,0.04884654,-0.14597164,0.063084126,-57.597817204776966,1,-57.597817204776966,-57.597817204776966,-57.597817204776966,0.0,-0.0030719936959872503,-0.028069111698234405,-0.3505057150942577,0.021332681309824002,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,10,21908,2052,2052.0,2052,0.0,0.99974495,0.03151774,-0.9965624,0.5892819,-457.0469077437233,1,-457.0469077437233,-457.0469077437233,-457.0469077437233,0.0,-0.0030896538561550166,-0.11426172693593063,-1.4959231108244369,0.0944165070458445,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,141,236000,4000,4000.0,4000,0.0,236000,0.013569484000072407,25.631759531004718,9.072713344000476,10.158562808999704,0.011034713999833912,6.371741119004582,0.004063932000462955,519.0812366119108,7.412899958580965e-05,0.3032151162624359,-3.723855972290039,3.265758,-1.1206036,-5.0344043,0.8102777,-1.6749132,6.0451555,1.3759129,-0.85808885,0.8552244,5.643282,1.3554857,0.25397506,0.70584327,5.5521717,1.3764021,0.26657945,0.7054581,0.12635767,0.12624721,4500,0.92501783,0.10838798,-0.26173726,0.25305733,0.14486843,-0.19742322,-1.6156397,0.27723363,1.1558875,0.847293,0.19876349,0.18345694
9,9,0.99702036,0.02470905,-0.18921393,0.068512656,-57.002486266054596,1,-57.002486266054596,-57.002486266054596,-57.002486266054596,0.0,-0.0031362593845870243,-0.026812081968981504,-0.5354998832050594,0.027874144894758396,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,11,24034,2126,2126.0,2126,0.0,0.9983998,0.032760546,-0.9964346,0.5968392,-451.16443384368097,1,-451.16443384368097,-451.16443384368097,-451.16443384368097,0.0,-0.0030406748188086907,-0.11279110846091997,-1.9778257266139776,0.1032298359426453,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,142,240000,4000,4000.0,4000,0.0,240000,0.013189851999413804,25.77166245400076,9.141204194000238,10.177788207999583,0.010450124000271899,6.424663074001728,0.004260852999323106,545.3089397688964,0.00010614900020300411,0.2627517282962799,-3.958559989929199,10.8238325,-0.96178436,-6.674462,1.0902003,-1.695163,6.6795177,1.4733326,-0.5920496,0.97728443,6.1436143,1.4720578,0.5453633,0.9126714,6.163866,1.4578371,0.4554554,0.90965027,0.107612714,0.10505267,5000,0.9967993,0.118022054,-0.36478156,0.29413497,0.13507505,-0.27084258,-4.8885903,0.40121785,1.1446227,0.80982214,0.0075320327,0.22426318
