Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/success Max,eval/env_infos/final/success Mean,eval/env_infos/final/success Min,eval/env_infos/final/success Std,eval/env_infos/initial/success Max,eval/env_infos/initial/success Mean,eval/env_infos/initial/success Min,eval/env_infos/initial/success Std,eval/env_infos/success Max,eval/env_infos/success Mean,eval/env_infos/success Min,eval/env_infos/success Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/success Max,expl/env_infos/final/success Mean,expl/env_infos/final/success Min,expl/env_infos/final/success Std,expl/env_infos/initial/success Max,expl/env_infos/initial/success Mean,expl/env_infos/initial/success Min,expl/env_infos/initial/success Std,expl/env_infos/success Max,expl/env_infos/success Mean,expl/env_infos/success Min,expl/env_infos/success Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,3.247097e-05,1.3660538e-06,-2.3367363e-06,4.9059186e-06,-45.91285016999821,1,-45.91285016999821,-45.91285016999821,-45.91285016999821,0.0,-0.0031185162347216393,-0.022628314524395367,-0.3844983008460336,0.02022871239484312,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,1,2029,2029,2029.0,2029,0.0,0.8204580725883093,-0.016769000194289754,-0.99,0.7159620716792305,70.508492337959,3,119.5622886850353,70.508492337959,-25.113560498039362,67.62261563769162,3.0,0.05288136925346925,-1.8696059878577322,0.4322707745253254,True,0.6666666666666666,False,0.4714045207910317,False,0.0,False,0.0,True,0.0005,False,0.02235508890610816,127,204000,1445,1333.3333333333333,1260,80.24268744807148,204000,0.013390612963121384,201.21691657981137,191.67635033500846,3.9600270749651827,0.010449184977915138,5.530485723924357,0.02614286501193419,204.43731664284132,7.078296039253473e-05,1.0,-0.0,-0.5348563,-1.3333074,-2.3107557,0.3110894,-1.3332152,4.7808366,1.385078,0.527507,0.5215561,4.2238647e-05,-5.4505745e-05,-0.00015280214,4.812896e-05,0.00032183356,0.00011503666,-0.000110961686,0.0001284501,2.1906226,2.1901712,500,6.1787105e-05,1.7608472e-06,-3.4539335e-05,6.382248e-06,0.0010076452,4.5195076e-05,-0.0008760951,0.00091453345,1.0010082,1.0000455,0.9991243,0.00091457495
1,1,0.18318641,0.13218608,0.09960834,0.029872736,-60.2564571361892,1,-60.2564571361892,-60.2564571361892,-60.2564571361892,0.0,-0.003041965672965509,-0.030494158469731327,-0.39678942627128133,0.024886634380450662,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,2,4005,1976,1976.0,1976,0.0,0.99729806,0.080537565,-0.9965804,0.61179495,-606.098306541162,1,-606.098306541162,-606.098306541162,-606.098306541162,0.0,-0.0030432509109559816,-0.1515245766352905,-16.783661212043544,0.5372906945075792,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,128,208000,4000,4000.0,4000,0.0,208000,0.013221325003542006,21.177688885771204,7.379357973986771,8.235513031017035,0.010265460005030036,5.5346917767310515,0.004567073017824441,225.99550300266128,7.224600994959474e-05,0.8609567284584045,-0.496328741312027,-0.316782,-1.3152435,-2.339376,0.32420173,-2.2698166,4.4983077,1.2259324,0.25580066,0.56049216,1.780592,1.2164469,0.9411915,0.12521501,1.7718502,1.2161415,0.90010303,0.12982586,0.30054665,0.30080682,1000,0.1940554,0.13335174,0.09828553,0.030223986,-0.03800885,-0.060062762,-0.094658576,0.020312887,0.9627044,0.94189966,0.90968347,0.0191283
2,2,0.108099364,0.07860631,0.047400482,0.027885841,-60.01084388479866,1,-60.01084388479866,-60.01084388479866,-60.01084388479866,0.0,-0.0030780213365077217,-0.02863112780763292,-0.6347509579906772,0.03604616750365638,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,3,6101,2096,2096.0,2096,0.0,0.9968454,0.045697227,-0.9988755,0.60296834,-455.95668682965066,1,-455.95668682965066,-455.95668682965066,-455.95668682965066,0.0,-0.0030824799944149783,-0.11398917170741274,-1.6564967374358914,0.09755750217836368,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,129,212000,4000,4000.0,4000,0.0,212000,0.013512842007912695,21.210448269732296,7.24479369900655,8.3318623569794,0.010434557974804193,5.6054439237341285,0.00431883503915742,247.58943967561936,8.205499034374952e-05,0.7405192852020264,-1.0114083290100098,-0.5772371,-1.3668313,-2.799541,0.26210794,-1.9893734,4.2353697,1.0766878,0.4584688,0.43079257,1.6488063,1.0911878,0.76586235,0.12108546,1.5931437,1.0944023,0.7976472,0.12049182,0.17539288,0.17583954,1500,0.12260151,0.07885757,0.0488723,0.027962284,-0.052797228,-0.07202777,-0.10277869,0.017505294,0.94857234,0.9306476,0.90232664,0.016289037
3,3,0.08278581,0.008131157,-0.123719856,0.05921837,-48.138656000010904,1,-48.138656000010904,-48.138656000010904,-48.138656000010904,0.0,-0.0030696157591422087,-0.019991136212629074,-0.3833540234823408,0.020680102939362163,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,4,8509,2408,2408.0,2408,0.0,0.99932665,0.008215927,-0.9987498,0.5936515,-384.5400909227379,1,-384.5400909227379,-384.5400909227379,-384.5400909227379,0.0,-0.003073214083082372,-0.09613502273068453,-1.3073886417601903,0.08355085847956827,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,130,216000,4000,4000.0,4000,0.0,216000,0.013519213011022657,21.2593449067208,7.269075490010437,8.342889376042876,0.011383601988200098,5.616570486687124,0.005738151958212256,269.23597027821233,0.0001685870229266584,0.6369928121566772,-1.521777629852295,-0.7461953,-1.3742526,-3.3791037,0.21875742,-1.6497821,4.1245813,1.0131292,0.5325259,0.43160024,1.3482034,1.0210052,0.18838516,0.12739895,1.2737331,1.0246265,0.15908413,0.11047308,0.16562879,0.17010051,2000,0.07778925,0.0066752094,-0.10405775,0.06013389,-0.086691685,-0.1019748,-0.13691112,0.007817669,0.91695976,0.90307987,0.8720477,0.0070473417
4,4,0.21476154,0.067365855,-0.0143627385,0.059014786,-64.26103215056376,1,-64.26103215056376,-64.26103215056376,-64.26103215056376,0.0,-0.0032191595462564846,-0.03319268189595222,-0.4885461948049706,0.026541168969083356,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,5,10445,1936,1936.0,1936,0.0,0.997209,0.04079614,-0.9993602,0.58901566,-498.10253106375234,1,-498.10253106375234,-498.10253106375234,-498.10253106375234,0.0,-0.003058746062879943,-0.12452563276593782,-1.2298868736433972,0.09137229567941055,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,131,220000,4000,4000.0,4000,0.0,220000,0.013285755005199462,21.554972303216346,7.537228717003018,8.40450971701648,0.010420140984933823,5.5840217171935365,0.005406489013694227,291.1660214380827,9.976699948310852e-05,0.5481336116790771,-2.0161595344543457,-0.76385784,-1.353357,-2.9500375,0.22345173,-1.6047108,4.0396347,0.9982208,0.39435685,0.45447057,1.7257719,0.9999224,0.6950773,0.15411498,1.4869425,0.987298,0.65811175,0.119125426,0.14484775,0.15935032,2500,0.17995586,0.063499406,-0.0053580925,0.050167874,-0.037761845,-0.12334128,-0.20891084,0.049438532,0.96294224,0.88504696,0.8114676,0.044000715
5,5,0.5903838,0.029064925,-0.012878982,0.022249341,-49.02540303043594,1,-49.02540303043594,-49.02540303043594,-49.02540303043594,0.0,-0.0030682713358231367,-0.025694655676329108,-0.4995593505640992,0.026014153191562684,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,6,12353,1908,1908.0,1908,0.0,0.99858004,0.055439997,-0.99751604,0.5773353,-241.19737016671667,2,-1.1271515416955689,-241.19737016671667,-481.26758879173775,240.07021862502108,-0.003034698858812685,-0.12059868508335812,-1.2151550756731342,0.08645223149811712,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,133,224000,3964,2000.0,36,1964.0,224000,0.013955413014627993,21.788110289897304,7.370186471031047,8.777443277998827,0.0111804089974612,5.610858168802224,0.004410397028550506,313.3209830300766,7.61530245654285e-05,0.4718305170536041,-2.521143913269043,-0.40823126,-1.3564436,-2.7594392,0.28127885,-1.5670671,4.4786944,0.99695456,0.39311847,0.42604926,2.8012106,1.0135152,0.6723839,0.2615419,2.7895174,1.0059471,0.70960724,0.23984446,0.098937646,0.109411895,3000,0.5891682,0.074613675,-0.039280802,0.104101256,-0.04270879,-0.12449245,-0.40152866,0.057184394,0.9581904,0.8843631,0.66929615,0.04921192
6,6,0.92046005,0.046046346,-0.0036443167,0.032248836,-48.203153245341305,1,-48.203153245341305,-48.203153245341305,-48.203153245341305,0.0,-0.003022600597980489,-0.023862947151159056,-0.3334031621247862,0.01900077365162662,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,7,14373,2020,2020.0,2020,0.0,0.9951621,0.020796519,-0.9991787,0.5951113,-429.9163293962896,1,-429.9163293962896,-429.9163293962896,-429.9163293962896,0.0,-0.0030315172787003268,-0.10747908234907255,-1.4745721996359695,0.09084630843377106,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,134,228000,4000,4000.0,4000,0.0,228000,0.013504405971616507,21.516840730211698,7.5046991989947855,8.333237899001688,0.010408497008029372,5.649710547237191,0.005206683999858797,335.210178743233,7.34979985281825e-05,0.4063218832015991,-2.9856958389282227,0.43814325,-1.3151941,-4.748229,0.37376446,-1.5169715,5.064351,1.071967,-0.45487702,0.5041303,3.4028597,1.0304716,0.7733839,0.27182618,3.2022858,1.028027,0.77910215,0.26815924,0.10094824,0.10604191,3500,0.69489336,0.08705355,-0.05167031,0.13909651,-0.008062231,-0.13193727,-0.462829,0.091891125,0.9919702,0.88001937,0.62950027,0.078268155
7,7,0.9657692,0.028327616,-0.0424227,0.03388447,-48.3462908814163,1,-48.3462908814163,-48.3462908814163,-48.3462908814163,0.0,-0.003006438152804916,-0.023687550652335233,-0.35224813786436193,0.02125757872065275,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,8,16414,2041,2041.0,2041,0.0,0.99655247,0.013509516,-0.99906814,0.59640646,-440.58327993371313,1,-440.58327993371313,-440.58327993371313,-440.58327993371313,0.0,-0.003046905819876101,-0.1101458199834286,-1.7039259797552713,0.09844408025292763,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,135,232000,4000,4000.0,4000,0.0,232000,0.013563675980549306,21.36801611375995,7.261134295957163,8.408161952043884,0.010638720006681979,5.66977504780516,0.004669354995712638,356.9624517543125,7.306697079911828e-05,0.3502860963344574,-3.3996119499206543,4.7443433,-1.2407966,-3.976511,0.56837153,-1.6161721,5.5328445,1.2712567,0.586215,0.76368016,4.3053827,1.2525402,0.7417068,0.5659031,4.238545,1.2555603,0.794027,0.5651655,0.11997695,0.123725966,4000,0.9658753,0.09932485,-0.055372056,0.20807642,-0.014212033,-0.15605743,-1.3751792,0.14627898,0.9858885,0.8637475,0.2527943,0.108101286
8,8,0.9658938,0.020025011,-0.0915244,0.036219858,-60.60238792396372,1,-60.60238792396372,-60.60238792396372,-60.60238792396372,0.0,-0.0030822157823921685,-0.02667358623413895,-0.7394778561722767,0.042485759396116825,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,9,18686,2272,2272.0,2272,0.0,0.9988852,0.013101973,-0.9982972,0.59568924,-907.801345882848,1,-907.801345882848,-907.801345882848,-907.801345882848,0.0,-0.0030510031154754444,-0.22695033647071264,-45.21069326594903,1.6902585656474938,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,136,236000,4000,4000.0,4000,0.0,236000,0.013337351032532752,21.210037534183357,7.217508975008968,8.35346179001499,0.011039915028959513,5.6090406880830415,0.005556421005167067,378.5536987364176,9.239400969818234e-05,0.30278733372688293,-3.786226987838745,2.6056504,-1.1691214,-4.8529787,0.72791034,-1.600627,6.3478813,1.3303027,0.5797991,0.8157253,5.691512,1.3171539,0.75544274,0.70745355,5.623211,1.3213301,0.7389531,0.70732206,0.10201873,0.10470942,4500,0.8808109,0.0866298,-0.093993396,0.22559558,-0.015614972,-0.18798093,-1.4547306,0.2467017,0.9845063,0.84877235,0.23346324,0.14971614
9,9,0.9693004,0.024293976,-0.13199292,0.06242753,-55.1667150488309,1,-55.1667150488309,-55.1667150488309,-55.1667150488309,0.0,-0.0030290036489317015,-0.02480517762987002,-0.627556733353313,0.03259533867867102,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,10,20910,2224,2224.0,2224,0.0,0.9983698,0.028512096,-0.9960725,0.59591997,-419.6986328409288,1,-419.6986328409288,-419.6986328409288,-419.6986328409288,0.0,-0.0030173823392633317,-0.10492465821023231,-1.2651358017419363,0.07933056176517898,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,137,240000,4000,4000.0,4000,0.0,240000,0.013296334014739841,21.42404763493687,7.405072359018959,8.355407389986794,0.011324799037538469,5.6324618578655645,0.006412319024093449,400.3578139632009,7.257598917931318e-05,0.26263734698295593,-4.057188510894775,3.1263132,-1.0345893,-4.1121235,0.9649031,-1.644238,7.3444033,1.4332895,0.42424428,1.0172503,7.9932795,1.4816899,0.6976299,1.080042,8.081745,1.476259,0.7709909,1.0788132,0.10076661,0.098594904,5000,0.9077387,0.097985,-0.13642865,0.2556768,-0.015739698,-0.23722926,-1.8614076,0.36549744,0.9843835,0.82805794,0.15545365,0.19278966
